cord_uid,source_x,title,doi,license,abstract,publish_time,authors,journal,url,s2_id,year,abstract_word_count
8kbw81m7,WHO,Extreme COVID-19 waves reveal hyperexponential growth and finite-time singularity,,unk,"Coronavirus disease 2019 (COVID-19) has rapidly spread throughout our planet, bringing human lives to a standstill. Understanding the early transmission dynamics helps plan intervention strategies such as lockdowns that mitigate further spread, minimizing the adverse impact on humanity and the economy1-3. Exponential growth of infections was thought to be the defining feature of an epidemic in its initial growth phase4-7; any variation from an exponential growth was described by adjusting the parameters of the exponential model7,8. Here, we show that, contrary to common belief, early stages of extreme COVID-19 waves display an unbounded growth and finite-time singularity accompanying a hyperexponential power-law. The faster than exponential growth phase is hazardous and would entail stricter regulations. Such a power-law description allows us to characterize COVID-19 waves with single power-law exponents, better than piece-wise exponentials. Furthermore, we identify the presence of log-periodic patterns decorating the power-law growth. These log-periodic oscillations may enable better prediction of the finite-time singularity. We anticipate that our findings of hyperexponential growth and log-periodicity will help model the COVID-19 transmission more accurately.",,"Pavithran, Induja; Sujith, R. I.",Unknown,,239047504.0,,173
d3gkfo7s,BioRxiv,Characterizing the dynamic and functional DNA methylation landscape in the developing human cortex,10.1101/823781,biorxiv,"DNA methylation (DNAm) is a key epigenetic regulator of gene expression across development. The developing prenatal brain is a highly dynamic tissue, but our understanding of key drivers of epigenetic variability across development is limited. We therefore assessed genomic methylation at over 39 million sites in the prenatal cortex using whole genome bisulfite sequencing and found loci and regions in which methylation levels are dynamic across development. We saw that DNAm at these loci was associated with nearby gene expression and enriched for enhancer chromatin states in prenatal brain tissue. Additionally, these loci were enriched for genes associated with psychiatric disorders and genes involved with neurogenesis. We also found autosomal differences in DNAm between the sexes during prenatal development, though these have less clear functional consequences. We lastly confirmed that the dynamic methylation at this critical period is specifically CpG methylation, with very low levels of CpH methylation. Our findings provide detailed insight into prenatal brain development as well as clues to the pathogenesis of psychiatric traits seen later in life.",2019-10-30,"Perzel Mandell, Kira A.; Price, Amanda J.; Wilton, Richard; Collado-Torres, Leonardo; Tao, Ran; Eagles, Nicholas J.; Szalay, Alexander S.; Hyde, Thomas M.; Weinberger, Daniel R.; Kleinman, Joel E.; Jaffe, Andrew E.",bioRxiv,https://doi.org/10.1101/823781,208587332.0,2019.0,171
hxa0wqs8,WHO,Global Obligations to Ensure the Right to Health: Strengthening Global Health Governance to Realise Human Rights in Global Health,10.2139/ssrn.3915846,unk,"The COVID-19 pandemic is reframing human rights in global health governance. International organisations have long sought to bring nations together in responding to global health threats;however, the United Nations (UN) system has faced limited compliance with its governance frameworks amidst increasing nationalism. In the pandemic response, the World Health Organization (WHO) is confronting isolationist obstacles to global solidarity, undermining efforts to advance human rights in global health. These structural impediments in a challenged global health governance landscape have raised an imperative to clarify extraterritorial human rights obligations, including global obligations of states and international organisations. In strengthening global health governance to realise human rights in global health, this article examines the changing landscape of extraterritorial human rights obligations in global health through strengthened WHO leadership and coordination across the larger system of international organisations, re-centring global human rights obligations in global health governance. These global obligations provide a path to overcome nationalist challenges in the pandemic response, strengthening institutions of global governance to advance global health, global equity, and global solidarity.",,"Meier, Benjamin Mason Mesquita Judith Bueno de Williams Caitlin",Unknown,https://doi.org/10.2139/ssrn.3915846,242780679.0,,171
mtwkfluh,Medline,"STOP 301: A Phase 3, open-label study of safety, tolerability, and exploratory efficacy of INP104, Precision Olfactory Delivery (POD® ) of dihydroergotamine mesylate, over 24/52 weeks in acute treatment of migraine attacks in adult patients.",10.1111/head.14184,unk,"OBJECTIVE To report the safety, tolerability, exploratory efficacy, and patient acceptability of INP104 for the acute treatment of migraine from the Phase 3 STOP 301 trial. BACKGROUND Dihydroergotamine (DHE) has long been used to treat migraine, but intravenous administration is invasive, frequently associated with adverse events (AEs), and not suitable for at-home administration. INP104 is an investigational drug device that delivers DHE mesylate to the upper nasal space using a Precision Olfactory Delivery technology and was developed to overcome the shortcomings of available DHE products. METHODS STOP 301 was an open-label, 24-week safety study, with a 28-week extension period. After a 28-day screening period where patients used their ""best usual care"" to treat migraine attacks, patients were given INP104 (1.45 mg) to self-administer nasally with self-recognized attacks. The primary objective of this study was to assess safety and tolerability, with a specific focus on nasal mucosa and olfactory function. Exploratory objectives included efficacy assessments of migraine measures and a patient acceptability questionnaire. RESULTS A total of 360 patients entered the 24-week treatment period, with 354 patients dosing at least once. INP104-related treatment-emergent AEs were reported by 36.7% (130/354) of patients, and 6.8% (24/354) discontinued treatment due to AEs over 24 weeks. No new safety signals were observed following delivery to the upper nasal space. Pain freedom, the most bothersome symptom freedom, and pain relief at 2 h post-INP104 were self-reported by 38.0% (126/332), 52.1% (173/332), and 66.3% (167/252) of patients, respectively. A low recurrence rate at 24 and 48 h was observed (7.1% [9/126] and 14.3% [18/126], respectively). Most patients found INP104 easy to use and preferred it over their current therapy. CONCLUSIONS INP104 has the potential to deliver rapid symptom relief, without injection, that is well tolerated and suitable for outpatient use. Results suggest INP104 may be a promising treatment for patients with migraine.",2021-08-07,"Smith, Timothy R; Winner, Paul; Aurora, Sheena K; Jeleva, Maria; Hocevar-Trnka, Jasna; Shrewsbury, Stephen B",Headache,https://doi.org/10.1111/head.14184; https://www.ncbi.nlm.nih.gov/pubmed/34363701/,236951734.0,2021.0,305
tbw4v1lp,Medline,Anti-interleukin-23 agents for the treatment of ulcerative colitis.,10.1080/14712598.2020.1697227,cc-by-nc-nd,"IntroductionTreatment of ulcerative colitis (UC) aims to control symptoms and to suppress intestinal inflammation. Despite considerable advances, a proportion of patients do not respond to currently available drugs. The interleukin (IL)-23 axis plays a significant role in the pathogenesis of UC and has thus become an important target for drug development.Areas coveredThe review briefly summarizes the pathophysiology of the IL-12/23 axis and provides a synopsis of the available evidence for efficacy and safety of ustekinumab, mirikizumab (LY3074828), risankizumab (BI655066/ABBV066), brazikumab (MEDI2070; formerly AMG139) and guselkumab (CNTO1959) in UC. We also provide an overview of ongoing and anticipated trials in this field.Expert opinionA Phase 2 trial with mirikizumab and a Phase 3 trial with ustekinumab have demonstrated the efficacy of anti-IL-23 agents in achieving clinical and endoscopic outcomes in UC with a favourable safety profile. Trials of other anti-IL-23 agents in UC are under way and designed to explore head-to-head efficacy with existing biologics, as well as the prospect of combination biological therapy. Apart from data on longer term efficacy and safety, future trials should also explore strategies to inform the positioning of IL-23 antagonists in therapeutic algorithms.",2019-11-25,"Hanžel, Jurij; D'Haens, Geert R",Expert opinion on biological therapy,https://doi.org/10.1080/14712598.2020.1697227; https://www.ncbi.nlm.nih.gov/pubmed/31760827/,208276253.0,2019.0,187
ypy7r44t,WHO,Cognitive and Energetic Sustainability for Development: Spain and Europe before the Green Deal,10.3390/en14133770,unk,"The paper will examine, in detail, (a) the norms that can be featured under the category “Green Deal” connected to the European Commission, (b) their application to Spain, and (c) the different patterns of action and development models that have been shaped by this framework over the last 20 years. These patterns are particularly relevant currently, as the COVID-19 crisis has highlighted the importance of advancing towards new patterns of local sustainability endowed with higher resilience. The notion of cognitive sustainability will be one of the added values to the current reflections on sustainability in general, and energetic sustainability in particular.",,"García-Magariño, Sergio Belintxon Unai",Energies,https://doi.org/10.3390/en14133770,237895748.0,,101
gwza23gn,Medline; PMC,Bergamo Field Hospital Confronting COVID-19: Operating Instructions,10.1017/dmp.2020.447,cc-by,"The coronavirus disease (COVID-19) pandemic represented an unprecedented challenge for health care facilities, and innovative solutions were urgently required to overcome the high volume of critically ill infectious patients, limit in-hospital outbreaks, and limit the risk of occupational infection for health care workers (HCWs). Bergamo was the hardest-hit Italian province by COVID-19, and the local health care system had to undergo a profound and prompt reorganization. A COVID-19-only field hospital was rapidly set up meeting the standards for severe acute respiratory infection (SARI) treatment centers (https://apps.who.int/iris/handle/10665/331603). A zones partition, dedicated in-hospital pathways for HCWs, strict infection prevention and control (IPC) measures, and constant staff supervision were key components of our strategy to limit the risk of occupational infection for HCWs. Herein, we present the Bergamo field hospital layout enlightening fundamental IPC measures adopted as a valuable example of a SARI treatment center confronting COVID-19.",2020-11-19,"Spagnolello, Ornella; Rota, Silvia; Francesco Valoti, Oliviero; Cozzini, Claudio; Parrino, Pietro; Portella, Gina; Langer, Martin",Disaster medicine and public health preparedness,https://www.ncbi.nlm.nih.gov/pubmed/33208198/; https://doi.org/10.1017/dmp.2020.447,227065574.0,2020.0,144
v9wds4wx,WHO,Is wearing a face mask a good idea?,,unk,"Official advice on masks for the general public is mixed, and there are concerns about taking vital supplies away from healthcare workers, reports Jessica Hamzelou",,"Hamzelou, Jessica",New Scientist,,218468700.0,,25
zb1gozh2,Medline; PMC; WHO,Genome-scale CRISPR screen identifies TMEM41B as a multi-function host factor required for coronavirus replication,10.1371/journal.ppat.1010113,cc-by,"Emerging coronaviruses (CoVs) pose a severe threat to human and animal health worldwide. To identify host factors required for CoV infection, we used α-CoV transmissible gastroenteritis virus (TGEV) as a model for genome-scale CRISPR knockout (KO) screening. Transmembrane protein 41B (TMEM41B) was found to be a bona fide host factor involved in infection by CoV and three additional virus families. We found that TMEM41B is critical for the internalization and early-stage replication of TGEV. Notably, our results also showed that cells lacking TMEM41B are unable to form the double-membrane vesicles necessary for TGEV replication, indicating that TMEM41B contributes to the formation of CoV replication organelles. Lastly, our data from a mouse infection model showed that the KO of this factor can strongly inhibit viral infection and delay the progression of a CoV disease. Our study revealed that targeting TMEM41B is a highly promising approach for the development of broad-spectrum anti-viral therapeutics.",2021-12-06,"Sun, Limeng; Zhao, Changzhi; Fu, Zhen; Fu, Yanan; Su, Zhelin; Li, Yangyang; Zhou, Yuan; Tan, Yubei; Li, Jingjin; Xiang, Yixin; Nie, Xiongwei; Zhang, Jinfu; Liu, Fei; Zhao, Shuhong; Xie, Shengsong; Peng, Guiqing",PLoS Pathog,https://www.ncbi.nlm.nih.gov/pubmed/34871328/; https://doi.org/10.1371/journal.ppat.1010113,244934580.0,2021.0,151
urdgh2pg,Medline; PMC; WHO,Influence of traditional Chinese medicines on the in vivo metabolism of lopinavir/ritonavir based on UHPLC-MS/MS analysis,10.1016/j.jpha.2021.06.006,cc-by-nc-nd,"A fast, reliable, and cost-effective liquid chromatography-tandem mass spectrometry method was established to determine the effects of the traditional Chinese medicine employed to treat coronavirus disease 2019, namely, Lianhua Qingwen granules, Huoxiang Zhengqi capsules, Jinhua Qinggan granules, Shufeng Jiedu capsules, and Angong Niuhuang pills, on the pharmacokinetics of lopinavir/ritonavir in rats. Blood samples were prepared using the protein precipitation method and atazanavir was selected as the internal standard (IS). Separation was performed on an Agilent ZORBAX eclipse plus C(18) (2.1 mm × 50 mm, 1.8 μm) column using acetonitrile and water containing 0.1% formic acid as the mobile phase for gradient elution. The flow rate was 0.4 mL/min and the injection volume was 2 μL. Agilent Jet Stream electrospray ionization was used for mass spectrometry detection under positive ion multiple reaction monitoring mode at a transition of m/z 629.3→447.3 for lopinavir, m/z 721.3→296.1 for ritonavir, and m/z 705.4→168.1 for the IS. The method showed good linearity in the concentration range of 25–2500 ng/mL (r=0.9981) for lopinavir and 5–500 ng/mL (r=0.9984) for ritonavir. The intra-day and inter-day precision and accuracy were both within ±15%. Items, such as dilution reliability and residual effect, were also within the acceptable limits. The method was used to determine the effects of five types of traditional Chinese medicines on the pharmacokinetics of lopinavir/ritonavir in rats. The pharmacokinetic results showed that the half-life of ritonavir in the groups administered Lianhua Qingwen granules and Huoxiang Zhengqi capsules combined with lopinavir/ritonavir was prolonged by approximately 1.5- to 2-fold relative to that in the control group. Similarly, the pharmacokinetic parameters of lopinavir were altered. Overall, the results of this study offer important theoretical parameters for the effective clinical use of five types of traditional Chinese medicines combined with lopinavir/ritonavir to reduce the occurrence of clinical adverse reactions.",2021-06-25,"Li, Linlin; Yu, Xinxiang; Xie, Dongmin; Peng, Ningning; Wang, Weilin; Wang, Decai; Li, Binglong",J Pharm Anal,https://doi.org/10.1016/j.jpha.2021.06.006; https://www.ncbi.nlm.nih.gov/pubmed/35582404/,237904676.0,2021.0,297
vfa1rilr,Medline; PMC; WHO,Effect of COVID-19 lockdown on regional pollution in Ireland,10.1007/s11869-021-01098-4,cc-by,"This study examines the regional impact of the COVID-19 lockdown restrictions on pollution in Ireland by comparing the 2020 measurements of ozone (O(3)), nitrogen dioxide (NO(2)), and particulate matter (PM) from monitoring stations around the country to the previous 3-year average. Results indicate that O(3) was 5.6% lower and 13.7% higher than previous years during the lockdown at rural and suburban sites, respectively. NO(2) decreased by 50.7% in urban areas, but increased slightly in agricultural regions, consistent with satellite observations. PM concentrations did not change significantly compared to previous years; however, a reduction in the signal variability in the smaller size particle measurements may be the result of different emission sources. The reduction in NO(2) likely increased the ratio of volatile organic compounds (VOCs) to NO(x) (nitrogen oxides), creating a NO(x) limited environment, which resulted in an initial increase in O(3) in suburban areas, and the lower than usual levels observed at rural sites. Meteorology showed higher than average wind speeds prior to lockdown, which likely acted to disperse PM and NO(2).",2021-09-28,"Spohn, Teresa K.; Martin, Damien; Geever, Michael; O’Dowd, Colin",Air Qual Atmos Health,https://doi.org/10.1007/s11869-021-01098-4; https://www.ncbi.nlm.nih.gov/pubmed/34603555/,237947747.0,2021.0,172
xt0jusoi,WHO,"The novel Coronavirus disease (COVID-19) pandemic: Knowledge, attitude, practice, and perceived stress among health care workers in Karachi, Pakistan",,unk,"Background: The Coronavirus disease (COVID-19) has created chaos across the globe Health care workers having close contact with infected individuals play a decisive role in infection control This study assessed the level of knowledge, attitude, practice (KAP) and perceived stress among health care workers of Karachi, Pakistan",,"Jawed, F.; Manazir, S.; Zehra, A.; Riaz, R.",Medical Journal of the Islamic Republic of Iran,,226276708.0,,47
jpqljiib,Medline; PMC; WHO,Baseline SARS-CoV-2 Viral Load is Associated With COVID-19 Disease Severity and Clinical Outcomes: Post-Hoc Analyses of a Phase 2/3 Trial,10.1093/infdis/jiab445,no-cc,"BACKGROUND: Elucidating the relationship between severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral load and clinical outcomes is critical for understanding COVID-19. METHODS: SARS-CoV-2 levels were analyzed by quantitative real-time polymerase chain reaction (RT-qPCR) of nasopharyngeal or oropharyngeal swab specimens collected at baseline and clinical outcomes were recorded over 60 days from 1362 COVID-19 hospitalized patients enrolled in a multicenter, randomized, placebo-controlled phase 2/3 trial of sarilumab for COVID-19 (NCT04315298). RESULTS: In post-hoc analyses, higher baseline viral load, measured by both RT-qPCR cycle threshold (Ct) and log(10) copies/mL, was associated with greater supplemental oxygenation requirements and disease severity at study entry. Higher baseline viral load was associated with higher mortality, lower likelihood of improvement in clinical status and supplemental oxygenation requirements, and lower rates of hospital discharge. Viral load was not impacted by sarilumab treatment over time versus placebo. CONCLUSIONS: These data support viral load as an important determinant of clinical outcomes in hospitalized patients with COVID-19 requiring supplemental oxygen or assisted ventilation.",2021-09-08,"Boyapati, Anita; Wipperman, Matthew F; Ehmann, Peter J; Hamon, Sara; Lederer, David J; Waldron, Alpana; Flanagan, John J; Karayusuf, Elif; Bhore, Rafia; Nivens, Michael C; Hamilton, Jennifer D; Sumner, Giane; Sivapalasingam, Sumathi",J Infect Dis,https://www.ncbi.nlm.nih.gov/pubmed/34496013/; https://doi.org/10.1093/infdis/jiab445,237456023.0,2021.0,163
uxr82f21,PMC,Challenges of paediatric palliative care in Romania: a focus groups study,10.1186/s12904-021-00871-7,cc-by,"BACKGROUND: The availability of palliative care facilities for children vary considerably among the European member states. In Romania, a country where health expenditure is among the lowest in Europe, palliative care has been mainly provided by charitable organizations. Despite the high number of children needing palliative care, there is scant literature and research available on paediatric palliative care in Romania. The study explores the viewpoints of various paediatric oncology providers with regard to paediatric palliative care provision in Romania. METHODS: Four mixed focus groups were conducted at four university-affiliated paediatric oncology centres located in three distinct Romanian regions (Bucuresti-llfov, Nord-Est and Nord-Vest). The focus groups were analyzed using thematic coding. RESULTS: For many healthcare professionals, emotional burden inherent to the profession; unhealthy work-life balance and understaffing were among the biggest barriers to the successful integration of pediatric palliative care. The lack of staff was attributed to a shortage of financial resources, and to the persisting cultural stigma surrounding palliative care and oncology. Also political turmoil was identified as an important obstacle to palliative care implementation. CONCLUSION: Significant barriers persist limiting the broader implementation of pediatric palliative care in Romania. In order to render palliative care in pediatric oncology more sustainable, more attention should be paid to the mental health care of healthcare professionals working in this field, to the development of mobile palliative care services and to the emigration of skilled medical staff.",2021-11-18,"Pacurari, Nadia; De Clercq, Eva; Dragomir, Monica; Colita, Anca; Wangmo, Tenzin; Elger, Bernice S.",BMC Palliat Care,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8598931/,,2021.0,233
007f21ia,PMC,Self-Assembling Peptides: From Design to Biomedical Applications,10.3390/ijms222312662,cc-by,"Self-assembling peptides could be considered a novel class of agents able to harvest an array of micro/nanostructures that are highly attractive in the biomedical field. By modifying their amino acid composition, it is possible to mime several biological functions; when assembled in micro/nanostructures, they can be used for a variety of purposes such as tissue regeneration and engineering or drug delivery to improve drug release and/or stability and to reduce side effects. Other significant advantages of self-assembled peptides involve their biocompatibility and their ability to efficiently target molecular recognition sites. Due to their intrinsic characteristics, self-assembled peptide micro/nanostructures are capable to load both hydrophobic and hydrophilic drugs, and they are suitable to achieve a triggered drug delivery at disease sites by inserting in their structure’s stimuli-responsive moieties. The focus of this review was to summarize the most recent and significant studies on self-assembled peptides with an emphasis on their application in the biomedical field.",2021-11-23,"La Manna, Sara; Di Natale, Concetta; Onesto, Valentina; Marasco, Daniela",Int J Mol Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8657556/,,2021.0,154
